owner_username,owner_id,date,url,typename,likes,comments
tamara_ondagram,4769975,2019/3/3 22:13,https://instagram.fzty2-1.fna.fbcdn.net/vp/2f918b444f7849c80110ddb2f38d3002/5C7EE09B/t51.2885-15/e15/52964928_103302067452502_7600603081446331165_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphVideo,19,6
tamara_ondagram,4769975,2019/2/18 1:33,https://instagram.fzty2-1.fna.fbcdn.net/vp/c3ca814b1c558fa8bbf4deb2e01968db/5D27023C/t51.2885-15/e35/50944064_2329050993994680_4987518126373655699_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphImage,31,1
tamara_ondagram,4769975,2019/2/18 1:23,https://instagram.fzty2-1.fna.fbcdn.net/vp/258c7c9fc911bdd00e516fa34a3da22d/5D0A1B7E/t51.2885-15/e35/51783795_637773273346789_2679085514918597311_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphSidecar,117,21
tamara_ondagram,4769975,2019/2/8 4:45,https://instagram.fzty2-1.fna.fbcdn.net/vp/8f6e15e27726b8b3957b2d7f85f93c75/5D276920/t51.2885-15/e35/50874102_145728553093920_3454647198368736680_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphImage,56,5
tamara_ondagram,4769975,2018/12/27 17:09,https://instagram.fzty2-1.fna.fbcdn.net/vp/c9a6fe3c3c5ae412a62c4b3045805c34/5D094479/t51.2885-15/e35/47582946_356727868474404_196580474183397839_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphSidecar,119,18
tamara_ondagram,4769975,2018/12/25 18:54,https://instagram.fzty2-1.fna.fbcdn.net/vp/e6af58864ffe31db503efe6c4f15873a/5D236924/t51.2885-15/e35/47066124_2249059068706053_6611436045624598359_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphSidecar,45,1
tamara_ondagram,4769975,2018/12/25 18:46,https://instagram.fzty2-1.fna.fbcdn.net/vp/c5555d0372ee30fdbc4928bd1f26c157/5D0AC42D/t51.2885-15/e35/47583909_129617308049838_7356791215027986133_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphSidecar,71,2
tamara_ondagram,4769975,2018/12/10 3:03,https://instagram.fzty2-1.fna.fbcdn.net/vp/51cd8c63223d3d2799fbf578f045d3f0/5D11AEEB/t51.2885-15/e35/45731490_2228202974121705_7826284169581908032_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphSidecar,119,7
tamara_ondagram,4769975,2018/11/20 4:11,https://instagram.fzty2-1.fna.fbcdn.net/vp/add9f901264e8932f4eeaee379a7786e/5D28748A/t51.2885-15/e35/43100800_124668498409953_5163679135931020469_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphImage,25,1
tamara_ondagram,4769975,2018/11/1 13:21,https://instagram.fzty2-1.fna.fbcdn.net/vp/bc4a9da540b9de38136a46197706f7cc/5D23E46D/t51.2885-15/e35/43915520_188597282028735_6439224599827563838_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphSidecar,61,0
tamara_ondagram,4769975,2018/11/1 13:15,https://instagram.fzty2-1.fna.fbcdn.net/vp/fb20d9f202b397e710ab6f902d9da245/5D0597DF/t51.2885-15/e35/43818088_544869302605185_3620854421189358207_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphImage,63,3
tamara_ondagram,4769975,2018/10/21 19:43,https://instagram.fzty2-1.fna.fbcdn.net/vp/5eb5c12852e8b5adef62b45600b4a8a8/5D275293/t51.2885-15/e35/43280838_534876576985070_4893171411568956573_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphSidecar,36,1
tamara_ondagram,4769975,2018/10/9 15:26,https://instagram.fzty2-1.fna.fbcdn.net/vp/d96d09b6fdd644ec215af84ebb1467ec/5C7EBFFE/t51.2885-15/e15/42522880_101025240861066_2391627066175390130_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphVideo,53,9
tamara_ondagram,4769975,2018/10/9 14:39,https://instagram.fzty2-1.fna.fbcdn.net/vp/7ad9305f592a0bf32f71cd8c4bc53c7e/5C7EFADB/t51.2885-15/e15/40813915_1363598353770198_8154637146553848834_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphSidecar,25,1
tamara_ondagram,4769975,2018/10/9 13:48,https://instagram.fzty2-1.fna.fbcdn.net/vp/82a22a53cd25793a001779286b2baa95/5C7E9357/t51.2885-15/e15/43096907_178453519737455_5697195985931817498_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net,GraphSidecar,17,0
